1001,Maria,Gonzalez,70,3,1729486800
1002,Carlos,Rodriguez,45,4,1729486950
1003,Ana,Perez,28,4,1729487100
1004,Luis,Sanchez,68,3,1729487250
1005,Elena,Martinez,35,4,1729487400
1006,Diego,Garcia,50,4,1729487550
1007,Sofia,Lopez,22,2,1729487700
1008,Javier,Diaz,75,3,1729487850
1009,Laura,Hernandez,30,4,1729488000
1010,Miguel,Gomez,42,4,1729488150
1011,Isabel,Moreno,66,3,1729488300
1012,Pedro,Jimenez,29,4,1729488450
1013,Camila,Alvarez,55,4,1729488600
1014,Andres,Torres,72,3,1729488750
1015,Valentina,Ruiz,24,1,1729488900
1016,Jose,Ramirez,38,4,1729489050
1017,Lucia,Flores,69,3,1729489200
1018,Fernando,Acosta,31,4,1729489350
1019,Gabriela,Benitez,48,4,1729489500
1020,Juan,Vargas,78,3,1729489650
1021,Maria,Jimenez,26,4,1729489800
1022,Carlos,Alvarez,67,3,1729489950
1023,Ana,Torres,33,4,1729490100
1024,Luis,Ruiz,51,4,1729490250
1025,Elena,Ramirez,71,3,1729490400
1026,Diego,Flores,27,4,1729490550
1027,Sofia,Acosta,44,4,1729490700
1028,Javier,Benitez,65,3,1729490850
1029,Laura,Vargas,36,2,1729491000
1030,Miguel,Gonzalez,58,4,1729491150
1031,Isabel,Rodriguez,70,3,1729491300
1032,Pedro,Perez,23,4,1729491450
1033,Camila,Sanchez,39,4,1729491600
1034,Andres,Martinez,76,3,1729491750
1035,Valentina,Garcia,29,4,1729491900
1036,Jose,Lopez,47,4,1729492050
1037,Lucia,Diaz,68,3,1729492200
1038,Fernando,Hernandez,32,1,1729492350
1039,Gabriela,Gomez,53,4,1729492500
1040,Juan,Moreno,74,3,1729492650
1041,Maria,Benitez,34,4,1729492800
1042,Carlos,Vargas,41,4,1729492950
1043,Ana,Gonzalez,66,3,1729493100
1044,Luis,Rodriguez,28,4,1729493250
1045,Elena,Perez,50,4,1729493400
1046,Diego,Sanchez,73,3,1729493550
1047,Sofia,Martinez,25,4,1729493700
1048,Javier,Garcia,46,4,1729493850
1049,Laura,Lopez,69,3,1729494000
1050,Miguel,Diaz,37,4,1729494150
1051,Isabel,Hernandez,56,4,1729494300
1052,Pedro,Gomez,77,3,1729494450
1053,Camila,Moreno,30,2,1729494600
1054,Andres,Jimenez,49,4,1729494750
1055,Valentina,Alvarez,70,3,1729494900
1056,Jose,Torres,22,4,1729495050
1057,Lucia,Ruiz,43,4,1729495200
1058,Fernando,Ramirez,79,3,1729495350
1059,Gabriela,Flores,31,4,1729495500
1060,Juan,Acosta,52,4,1729495650
1061,Maria,Vargas,68,3,1729495800
1062,Carlos,Gonzalez,27,4,1729495950
1063,Ana,Rodriguez,45,4,1729496100
1064,Luis,Perez,72,3,1729496250
1065,Elena,Sanchez,36,4,1729496400
1066,Diego,Martinez,54,4,1729496550
1067,Sofia,Garcia,67,3,1729496700
1068,Javier,Lopez,29,1,1729496850
1069,Laura,Diaz,48,4,1729497000
1070,Miguel,Hernandez,75,3,1729497150
1071,Isabel,Gomez,33,4,1729497300
1072,Pedro,Moreno,51,4,1729497450
1073,Camila,Jimenez,66,3,1729497600
1074,Andres,Alvarez,26,4,1729497750
1075,Valentina,Torres,42,4,1729497900
1076,Jose,Ruiz,76,3,1729498050
1077,Lucia,Ramirez,38,2,1729498200
1078,Fernando,Flores,57,4,1729498350
1079,Gabriela,Acosta,70,3,1729498500
1080,Juan,Benitez,24,4,1729498650
1081,Maria,Gonzalez,40,4,1729498800
1082,Carlos,Rodriguez,69,3,1729498950
1083,Ana,Perez,32,4,1729499100
1084,Luis,Sanchez,53,4,1729499250
1085,Elena,Martinez,78,3,1729499400
1086,Diego,Garcia,29,4,1729499550
1087,Sofia,Lopez,47,4,1729499700
1088,Javier,Diaz,71,3,1729499850
1089,Laura,Hernandez,35,4,1729500000
1090,Miguel,Gomez,50,4,1729500150
1091,Isabel,Moreno,74,3,1729500300
1092,Pedro,Jimenez,27,4,1729500450
1093,Camila,Alvarez,44,1,1729500600
1094,Andres,Torres,67,3,1729500750
1095,Valentina,Ruiz,31,4,1729500900
1096,Jose,Ramirez,55,4,1729501050
1097,Lucia,Flores,73,3,1729501200
1098,Fernando,Acosta,28,4,1729501350
1099,Gabriela,Benitez,49,4,1729501500
1100,Juan,Vargas,70,3,1729501650
1001,juan,dkajsdjhs,57,1,1761016618
1001,pref,cash,69,2,1761017069
1001,gg,gg,45,4,1761019108
